Word	IPA transcription
обадят	o b a dʲ ɐ t
полицията	p o l i t s i j a t ɐ
предложил	p r e d ɫ o ʒ i ɫ
неговия	n e ɡ o v i j ɐ
мобилен	m o b i l e n
телефон	t e l e f o n
отмора	o t m o r ɐ
откриете	o t k r i e t e
моряшкия	m o rʲ a ʃ k i j ɐ
квартал	k v a r t a ɫ
барове	b a r o v e
гледащи	ɡ l e d a ʃ t i
пристанището	p r i s t ɐ n i ʃ t e t o
акостирали	ɐ k o s t i r a l i
красиви	k r a s i v i
яхти	j a x t i
кораби	k o r a b i
наложително	n ɐ ɫ o ʒ i t e ɫ n o
огромните	o ɡ r o m n i t e
щети	ʃ t e t i
нанасят	n a n a ʃ ɐ t
беди	b e d i
земетресения	z e m e t r e s e n i j ɐ
наводнения	n ɐ v o d n e n i j ɐ
сложната	s ɫ o ʒ n a t ɐ
зимна	z i m n ɐ
обстановка	o p s t a n o f k ɐ
основни	o s n o v n i
експортни	e k s p o r t n i
партията	p ɐ r t i j a t ɐ
иска	i s k ɐ
изкара	i s k a r ɐ
пълния	p ə ɫ n i j ɐ
министър-председател	m i n i s t ə r p r e t s e d a t e ɫ
дъмпинговите	d ə m p i n ɡ o v i t e
предлагани	p r e d ɫ a ɡ a n i
най-често	n a j t ʃ e s t o
семейни	s e m e j n i
базират	b a z i r ɐ t
разликата	r ɐ z l i k a t ɐ
предлаганата	p r e d ɫ ɐ ɡ a n a t ɐ
коментират	k o m e n t i r ɐ t
вземат	v z e m ɐ t
гласове	ɡ ɫ a s o v e
обратното	o b r a t n o t o
пример	p r i m e r
даваха	d a v a x ɐ
конструирани	k o n s t r u i r a n i
започнаха	z ɐ p o t ʃ n a x ɐ
полети	p o l e t i
правят	p r a vʲ ɐ t
гражданските	ɡ r a ʒ d a n s k i t e
летища	l e t i ʃ t ɐ
Бургас	b u r ɡ ɐ s
обясни	o bʲ a s n i
данните	d a n n i t e
държавната	d ə r ʒ a v n a t ɐ
сочат	s o t ʃ ɐ t
сериозно	s e r i o z n o
предимство	p r e d i m s t v o
малките	m a ɫ k i t e
градове	ɡ r a d o v e
селата	s e ɫ a t ɐ
по-прозрачни	p o p r o z r a t ʃ n i
коментира	k o m e n t i r ɐ
военният	v o e n n i j ɐ t
осма	o s m ɐ
ражда	r a ʒ d ɐ
дете	d e t e
момиченцето	m o m i t ʃ e n t s e t o
Евгения	e v ɡ e n i j ɐ
извършвал	i z v ə r ʃ v ɐ ɫ
сметките	s m e t k i t e
операциите	o p e r ɐ t s i i t e
различни	r a z l i t ʃ n i
ценни	t s e n n i
книжа	k n i ʒ ɐ
извънбалансовата	i z v ə n b ɐ ɫ ɐ n s o v a t ɐ
сметка	s m e t k ɐ
неизяснени	n e i ʒ a s n e n i
грешки	ɡ r e ʃ k i
просперираща	p r o s p e r i r a ʃ t ɐ
европейска	e v r o p e j s k ɐ
институция	i n s t i t u t s i j ɐ
конкурентоспособна	k o n k u r e n t o s p o s o b n ɐ
закриван	z a k r i v ɐ n
категоричен	k ɐ t e ɡ o r i t ʃ e n
доцент	d o t s e n t
Ризов	r i z o f
най-старият	n a j s t a r i j ɐ t
кораб	k o r ɐ p
крие	k r i e
финансова	f i n a n s o v ɐ
отчетност	o t t ʃ e t n o s t
шведите	ʃ v e d i t e
големи	ɡ o l e m i
фенове	f e n o v e
домашните	d o m a ʃ n i t e
колбаси	k o ɫ b a s i
кюфтенца	kʲ u f t e n t s ɐ
наречени	n ɐ r e t ʃ e n i
тефтели	t e f t e l i
дроба	d r o b ɐ
шведски	ʃ v e t s k i
хвойновия	x v o j n o v i j ɐ
хляб	x l a p
супата	s u p a t ɐ
бира	b i r ɐ
Елебрад	e l e b r ɐ t
социолозите	s o t s i o ɫ o z i t e
одобряват	o d o b rʲ a v ɐ t
склонни	s k ɫ o n n i
гласуват	ɡ ɫ a s u v ɐ t
израснала	i z r a s n a ɫ ɐ
дом	d o m
успяла	u s pʲ a ɫ ɐ
пробие	p r o b i e
заеме	z a e m e
най-предните	n a j p r e d n i t e
планът	p ɫ a n ə t
закупуването	z ɐ k u p u v a n e t o
по-мощен	p o m o ʃ t e n
двудвигателен	d v u d v i ɡ a t e l e n
купува	k u p u v ɐ
мебели	m e b e l i
губел	ɡ u b e ɫ
налагало	n ɐ ɫ a ɡ a ɫ o
рискува	r i s k u v ɐ
върне	v ə r n e
погледнеш	p o ɡ l e d n e ʃ
каймакът	k a j m a k ə t
думи	d u m i
разкошът	r a s k o ʃ ə t
по-приличен	p o p r i l i t ʃ e n
негова	n e ɡ o v ɐ
сентенцията	s e n t e n t s i j a t ɐ
знаеш	z n a e ʃ
губиш	ɡ u b i ʃ
печелиш	p e t ʃ e l i ʃ
равноотдалеченост	r ɐ v n o o d d ɐ l e t ʃ e n o s t
нарушена	n ɐ r u ʃ e n ɐ
другият	d r u ɡ i j ɐ t
обективната	o b e k t i v n a t ɐ
оценка	o t s e n k ɐ
база	b a z ɐ
регулярните	r e ɡ u l a r n i t e
доклади	d o k ɫ a d i
подавани	p o d a v a n i
преобразим	p r e o b r a z i m
одобрените	o d o b r e n i t e
мераклии	m e r a k l i i
тур	t u r
преминат	p r e m i n ɐ t
по-прецизна	p o p r e t s i z n ɐ
неделя	n e d e l ɐ
динамичното	d i n ɐ m i t ʃ n o t o
бранш	b r a n ʃ
по-търсена	p o t ə r s e n ɐ
последната	p o s l e d n a t ɐ
излиза	i z l i z ɐ
каква	k a k v ɐ
заявките	z ɐ j a f k i t e
дадени	d a d e n i
присъствието	p r i s ə s t v i e t o
оскъдно	o s k ə d n o
облечени	o b l e t ʃ e n i
мажоретки	m ɐ ʒ o r e t k i
конгреса	k o n ɡ r e s ɐ
Държавният	d ə r ʒ a v n i j ɐ t
департамент	d e p ɐ r t a m e n t
цяло	tsʲ a ɫ o
зачита	z a t ʃ i t ɐ
правата	p r a v a t ɐ
съществуват	s ə ʃ t e s t v u v ɐ t
събралата	s ə b r a ɫ a t ɐ
двама	d v a m ɐ
Троянските	t r o j a n s k i t e
коне	k o n e
превзели	p r e v z e l i
решиха	r e ʃ i x ɐ
битката	b i t k a t ɐ
ездачите	e z d a t ʃ i t e
въобще	v ə o p ʃ t e
впоследствие	f p o s l e t s t v i e
пуловете	p u ɫ o v e t e
предприятията	p r e t p r i j ɐ t i j a t ɐ
увеличено	u v e l i t ʃ e n o
беда	b e d ɐ
конфигурацията	k o n f i ɡ u r a t s i ɐ t ɐ
получената	p o ɫ u t ʃ e n a t ɐ
цифра	t s i f r ɐ
кратна	k r a t n ɐ
бабата	b a b a t ɐ
внуче	v n u t ʃ e
младите	m ɫ a d i t e
влюбени	v l u b e n i
разкриват	r a s k r i v ɐ t
претенциите	p r e t e n t s i i t e
червените	t ʃ e r v e n i t e
обхващане	o p x v a ʃ t a n e
максимално	m ɐ k s i m a ɫ n o
широки	ʃ i r o k i
следователно	s l e d o v a t e ɫ n o
икономически	i k o n o m i t ʃ e s k i
по-изгодно	p o i z ɡ o d n o
инвестират	i n v e s t i r ɐ t
продуктови	p r o d u k t o v i
такси	t a k s i
конкурентни	k o n k u r e n t n i
пуснаха	p u s n a x ɐ
бариера	b ɐ r i e r ɐ
по-интензивното	p o i n t e n z i v n o t o
Евросъюза	e v r o s ə j u z ɐ
та	t a
методично	m e t o d i t ʃ n o
царствено	t s a r s t v e n o
гради	ɡ r a d i
програма	p r o ɡ r a m ɐ
ядовете	j ɐ d o v e t e
предстоят	p r e t s t o j ɐ t
парламентарно	p ɐ r ɫ ɐ m e n t a r n o
представени	p r e t s t a v e n i
докладите	d o k ɫ a d i t e
менте	m e n t e
езиковите	e z i k o v i t e
ви	v i
завършване	z ɐ v ə r ʃ v a n e
езиков	e z i k o f
курс	k u r s
дипломи	d i p ɫ o m i
предположението	p r e t p o ɫ o ʒ e n i e t o
Лейбъристката	l e j b ə r i s t k a t ɐ
каквато	k a k v a t o
основното	o s n o v n o t o
предизвикателство	p r e d i z v i k a t e l s t v o
третия	t r e t i j ɐ
престой	p r e s t o j
даунинг	d a u n i n k
стрийт	s t r i j t
Филиз	f i l i s
Хюсменова	ʃ u s m e n o v ɐ
дала	d a ɫ ɐ
указание	u k a z a n i e
събира	s ə b i r ɐ
размерите	r ɐ z m e r i t e
материалните	m ɐ t e r i a ɫ n i t e
заели	z a e l i
пита	p i t ɐ
задачката	z ɐ d a t ʃ k a t ɐ
как	k a k
трудности	t r u d n o s t i
организира	o r ɡ ɐ n i z i r ɐ
конгрес	k o n ɡ r e s
управлява	u p r a v l a v ɐ
оплаквания	o p ɫ ɐ k v a n i j ɐ
Върховна	v ə r x o v n ɐ
касационна	k ɐ s ɐ t s i o n n ɐ
оглавявана	o ɡ ɫ ɐ vʲ a v a n ɐ
прокурор	p r o k u r o r
преследва	p r e s l e d v ɐ
сериозни	s e r i o z n i
криминални	k r i m i n a ɫ n i
престъпления	p r e s t ə p l e n i j ɐ
сегашното	s e ɡ a ʃ n o t o
изпусна	i s p u s n ɐ
усвоени	u s v o e n i
новините	n o v i n i t e
изчерпиха	i s t ʃ e r p i x ɐ
началниците	n ɐ t ʃ ɐ ɫ n i t s i t e
можели	m o ʒ e l i
нарадват	n a r a d v ɐ t
изпратили	i s p r a t i l i
сингапурската	s i n ɡ ɐ p u r s k a t ɐ
дъщерна	d ə ʃ t e r n ɐ
занимавала	z ɐ n i m a v a ɫ ɐ
спекулации	s p e k u ɫ a t s i i
борсите	b o r s i t e
демонстрацията	d e m o n s t r a t s i ɐ t ɐ
добронамереност	d o b r o n ɐ m e r e n o s t
бившите	b i f ʃ i t e
съпартийци	s ə p a r t i j t s i
назоваването	n ɐ z o v ɐ v a n e t o
общата	o p ʃ t a t ɐ
цел	t s e ɫ
предизвика	p r e d i z v i k ɐ
умиление	u m i l e n i e
правоверните	p r ɐ v o v e r n i t e
седесари	s e d e s a r i
формално	f o r m a ɫ n o
подчинен	p o t t ʃ i n e n
сингапурското	s i n ɡ ɐ p u r s k o t o
поделение	p o d e l e n i e
престъпността	p r e s t ə p n o s t̪ ɐ
основен	o s n o v e n
Патриарх	p ɐ t r i a r x
Максим	m a k s i m
алиби	a l i b i
заверата	z ɐ v e r a t ɐ
свежият	s v e ʒ i j ɐ t
въздух	v ə z d u x
внесат	v n e s ɐ t
по-разнообразните	p o r ɐ z n o o b r a z n i t e
новини	n o v i n i
сутрешният	s u t r e ʃ n i j ɐ t
блок	b ɫ o k
Каракачанов	k ɐ r ɐ k a t ʃ a n o f
екологията	e k o ɫ o ɡ i j a t ɐ
попълнят	p o p ə ɫ ɲ ɐ t
необходимото	n e o p x o d i m o t o
съставяне	s ə s t a vʲ a n e
Герхард	ɡ e r x ɐ r t
Шрьодер	ʃ rʲ o d e r
собствената	s o p s t v e n a t ɐ
имаше	i m a ʃ e
тежнения	t e ʒ n e n i j ɐ
идваше	i d v a ʃ e
краят	k r a j ɐ t
Хелмут	x e ɫ m u t
Кол	k o ɫ
специализиран	s p e t s i ɐ l i z i r ɐ n
финанси	f i n a n s i
счетоводство	s t ʃ e t o v o t s t v o
банково	b a n k o v o
дело	d e ɫ o
реклама	r e k ɫ a m ɐ
медицина	m e d i t s i n ɐ
ето	e t o
предстоящият	p r e t s t o j a ʃ t i j ɐ t
четиридесетото	t ʃ e t i r i d e s e t o t o
народно	n a r o d n o
накара	n a k a r ɐ
формации	f o r m a t s i i
даподадат	d ɐ p o d a d ɐ t
депутатите	d e p u t a t i t e
контингентът	k o n t i n ɡ e n t ə t
дано	d a n o
крайни	k r a j n i
мнения	m n e n i j ɐ
последствия	p o s l e t s t v i j ɐ
обитателите	o b i t ɐ t e l i t e
приоритетите	p r i o r i t e t i t e
вписани	f p i s a n i
програмата	p r o ɡ r a m a t ɐ
електронни	e l e k t r o n n i
щом	ʃ t o m
изпада	i s p a d ɐ
финансови	f i n a n s o v i
затруднения	z ɐ t r u d n e n i j ɐ
незабавно	n e z a b a v n o
разпродава	r ɐ s p r o d a v ɐ
акции	a k t s i i
оставя	o s t a vʲ ɐ
сухо	s u x o
необходимите	n e o p x o d i m i t e
промоции	p r o m o t s i i
маркетингови	m ɐ r k e t i n ɡ o v i
оказаха	o k a z a x ɐ
очакваните	o t ʃ ɐ k v a n i t e
овладяхме	o v ɫ a dʲ a x m e
функционирането	f u n k t s i o n i r a n e t o
сценарий	s t s e n a r i j
малко	m a ɫ k o
вероятен	v e r o j a t e n
долу	d o ɫ u
войната	v o j n a t ɐ
показателен	p o k a z a t e l e n
фактът	f a k t ə t
канцлерът	k a n t s l e r ə t
Йошка	j o ʃ k ɐ
Фишер	f i ʃ e r
пледират	p l e d i r ɐ t
дипломатически	d i p ɫ o m a t i t ʃ e s k i
стъпки	s t ə p k i
първото	p ə r v o t o
провокирано	p r o v o k i r a n o
идеите	i d e i t e
премиера	p r e m i e r ɐ
Сакскобургготски	s ɐ k s k o b u r ɡ ɡ o t s k i
министерствата	m i n i s t e r s t v a t ɐ
другата	d r u ɡ a t ɐ
разлика	r a z l i k ɐ
социалистическите	s o t s i ɐ l i s t i t ʃ e s k i t e
обещания	o b e ʃ t a n i j ɐ
липсата	l i p s a t ɐ
конкретност	k o n k r e t n o s t
водач	v o d a t ʃ
листата	l i s t a t ɐ
Пловдив-град	p ɫ o v d i v ɡ r a t
нововремци	n o v o v r e m t s i
избраха	i z b r a x ɐ
режисьора	r e ʒ i ʃ o r ɐ
Торнев	t o r n e f
вливането	v l i v a n e t o
появата	p o j a v a t ɐ
означаваха	o z n ɐ t ʃ a v a x ɐ
автоматични	ɐ f t o m a t i t ʃ n i
промени	p r o m e n i
днешна	d n e ʃ n ɐ
дата	d a t ɐ
броят	b r o j ɐ t
загиналите	z ɐ ɡ i n a l i t e
стихията	s t i ʃ i j a t ɐ
надхвърли	n a t x v ə r l i
души	d u ʃ i
първоначалните	p ə r v o n ɐ t ʃ a ɫ n i t e
оценки	o t s e n k i
по-скромни	p o s k r o m n i
сме	s m e
доктори	d o k t o r i
усмихна	u s m i x n ɐ
Райков	r a j k o f
нормалността	n o r m a ɫ n o s t̪ ɐ
съответствие	s ə o t v e t s t v i e
откриваме	o t k r i v a m e
напредналите	n ɐ p r e d n a l i t e
уредени	u r e d e n i
ФАР	f a r
компенсация	k o m p e n s a t s i ɐ
изгубения	i z ɡ u b e n i j ɐ
свободната	s v o b o d n a t ɐ
често	t ʃ e s t o
защитава	z ɐ ʃ t i t a v ɐ
общността	o p ʃ t n o s t̪ ɐ
намират	n a m i r ɐ t
заплаха	z a p ɫ a x ɐ
морала	m o r a ɫ ɐ
възприетите	v ə s p r i e t i t e
традиционни	t r ɐ d i t s i o n n i
практики	p r a k t i k i
доколко	d o k o ɫ k o
смислени	s m i s l e n i
почтени	p o t ʃ t e n i
отделен	o d d e l e n
водил	v o d i ɫ
навремето	n ɐ v r e m e t o
русенци	r u s e n t s i
доставка	d o s t a f k ɐ
бронежилетки	b r o n e ʒ i l e t k i
спецчастите	s p e t s t ʃ a s t i t e
законодателен	z ɐ k o n o d a t e l e n
свързан	s v ə r z ɐ n
взаимодействието	v z ɐ i m o d e j s t v i e t o
вътрешните	v ə t r e ʃ n i t e
ведомства	v e d o m s t v ɐ
ясен	j a s e n
механизъм	m e x a n i z ə m
участници	u t ʃ a s t n i t s i
кулминацията	k u ɫ m i n a t s i ɐ t ɐ
настъпи	n a s t ə p i
КНСБ	k ə n ə s ə b ə
изпратиха	i s p r a t i x ɐ
отворено	o t v o r e n o
писмо	p i s m o
завършат	z a v ə r ʃ ɐ t
значението	z n ɐ t ʃ e n i e t o
бедствието	b e t s t v i e t o
сравнително	s r ɐ v n i t e ɫ n o
ограничено	o ɡ r ɐ n i t ʃ e n o
нелеки	n e l e k i
реформи	r e f o r m i
произвеждат	p r o i z v e ʒ d ɐ t
клиентът	k l i e n t ə t
правото	p r a v o t o
определи	o p r e d e l i
лично	l i t ʃ n o
подбере	p o d b e r e
вкуса	f k u s ɐ
дизайна	d i z a j n ɐ
виното	v i n o t o
Крута	k r u t ɐ
ограничаването	o ɡ r ɐ n i t ʃ ɐ v a n e t o
възможностите	v ə z m o ʒ n o s t i t e
обжалване	o b ʒ a ɫ v a n e
действията	d e j s t v i j a t ɐ
частния	t ʃ a s t n i j ɐ
БИБА	b i b ɐ
подобни	p o d o b n i
несъстоятелни	n e s ə s t o j a t e ɫ n i
собствеността	s o p s t v e n o s t̪ ɐ
сума	s u m ɐ
физически	f i z i t ʃ e s k i
обекти	o b e k t i
единствено	e d i n s t v e n o
включена	f k l u t ʃ e n ɐ
процеса	p r o t s e s ɐ
възпроизводство	v ə s p r o i z v o t s t v o
създаване	s ə z d a v a n e
заповед	z a p o v e t
прекратяването	p r e k r ɐ tʲ ɐ v a n e t o
третата	t r e t a t ɐ
тръжна	t r ə ʒ n ɐ
военното	v o e n n o t o
открива	o t k r i v ɐ
четвъртата	t ʃ e t v ə r t a t ɐ
злополучните	z ɫ o p o ɫ u t ʃ n i t e
имал	i m ɐ ɫ
задание	z a d a n i e
финансовото	f i n ɐ n s o v o t o
ведомство	v e d o m s t v o
излъчи	i z ɫ ə t ʃ i
трима	t r i m ɐ
специалисти	s p e t s i a l i s t i
областта	o b ɫ a s t̪ ɐ
телевизионната	t e l e v i z i o n n a t ɐ
техниката	t e x n i k a t ɐ
готово	ɡ o t o v o
туризма	t u r i z m ɐ
заложи	z a ɫ o ʒ i
председателят	p r e t s e d a t e l ɐ t
Борислав	b o r i s ɫ ɐ f
Великов	v e l i k o f
участват	u t ʃ a s t v ɐ t
заседание	z ɐ s e d a n i e
Бюрото	bʲ u r o t o
ЕНП	e n p
коалиционната	k o ɐ l i t s i o n n a t ɐ
десница	d e s n i t s ɐ
мощ	m o ʃ t
приблизителен	p r i b l i z i t e l e n
отчетоха	o t t ʃ e t o x ɐ
електоралния	e l e k t o r a ɫ n i j ɐ
възход	v ə s x o t
столетницата	s t o l e t n i t s a t ɐ
активисти	ɐ k t i v i s t i
Васил	v a s i ɫ
Михаил	m i x a i ɫ
Михайлов	m i x a j ɫ o f
оттеглиха	o t̪ e ɡ l i x ɐ
обективно	o b e k t i v n o
погледнато	p o ɡ l e d n a t o
етап	e t a p
мисията	m i s i j a t ɐ
ново	n o v o
разширяване	r ɐ s ʃ i rʲ a v a n e
съмнителна	s ə m n i t e ɫ n ɐ
таралежите	t ɐ r ɐ l e ʒ i t e
бодлите	b o d l i t e
уж	u ʃ
последно	p o s l e d n o
местни	m e s t n i
сеизмолози	s e i z m o ɫ o z i
земетресение	z e m e t r e s e n i e
вторичен	f t o r i t ʃ e n
трус	t r u s
мощните	m o ʃ t n i t e
земетръсни	z e m e t r ə s n i
вълни	v ə ɫ n i
уникални	u n i k a ɫ n i
екологично	e k o ɫ o ɡ i t ʃ n o
чисти	t ʃ i s t i
отлични	o t l i t ʃ n i
вкусови	f k u s o v i
качества	k a t ʃ e s t v ɐ
заявки	z a j a f k i
въвежда	v ə v e ʒ d ɐ
неопетнени	n e o p e t n e n i
политиката	p o l i t i k a t ɐ
сбъднаха	z b ə d n a x ɐ
ниския	n i s k i j ɐ
резултат	r e z u ɫ t a t
водеща	v o d e ʃ t ɐ
роля	r o l ɐ
вероятност	v e r o j a t n o s t
приюти	p r i j u t i
Демократическата	d e m o k r ɐ t i t ʃ e s k a t ɐ
социалдемократите	s o t s i ɐ ɫ d e m o k r a t i t e
Нихризов	n i x r i z o f
държавен	d ə r ʒ a v e n
служител	s ɫ u ʒ i t e l
правим	p r a v i m
полицай	p o l i t s a j
застрашително	z ɐ s t r ɐ ʃ i t e ɫ n o
показват	p o k a z v ɐ t
пръст	p r ə s t
онзи	o n z i
изпълни	i s p ə ɫ n i
задълженията	z ɐ d ə ɫ ʒ e n i j a t ɐ
заместничката	z ɐ m e s t n i t ʃ k a t ɐ
Арсенова	ɐ r s e n o v ɐ
екоминистерството	e k o m i n i s t e r s t v o t o
Маноела	m ɐ n o e ɫ ɐ
Георгиева	ɡ e o r ɡ i e v ɐ
изпадна	i s p a d n ɐ
времена	v r e m e n ɐ
поставят	p o s t a vʲ ɐ t
високи	v i s o k i
изисквания	i z i s k v a n i j ɐ
качеството	k ɐ t ʃ e s t v o t o
оперативността	o p e r ɐ t i v n o s t̪ ɐ
ефективността	e f e k t i v n o s t̪ ɐ
фирмите	f i r m i t e
изхвърлят	i s x v ə r l ɐ t
борда	b o r d ɐ
компании	k o m p a n i i
петият	p e t i j ɐ t
замине	z a m i n e
изпратен	i s p r a t e n
по-качествени	p o k ɐ t ʃ e s t v e n i
Анкара	a n k a r ɐ
покриването	p o k r i v a n e t o
критерии	k r i t e r i i
напусналите	n ɐ p u s n a l i t e
изтъкнаха	i s t ə k n a x ɐ
едни	e d n i
същи	s ə ʃ t i
причини	p r i t ʃ i n i
еднолично	e d n o l i t ʃ n o
авторитарно	ɐ f t o r i t a r n o
редене	r e d e n e
широка	ʃ i r o k ɐ
гама	ɡ a m ɐ
продават	p r o d a v ɐ t
изнасят	i z n a ʃ ɐ t
Западна	z a p a d n ɐ
Северна	s e v e r n ɐ
Америка	ɐ m e r i k ɐ
Япония	j ɐ p o n i j ɐ
вкупом	f k u p o m
помпаха	p o m p a x ɐ
избирателната	i z b i r ɐ t e ɫ n a t ɐ
активност	a k t i v n o s t
българина	b ə ɫ ɡ ɐ r i n ɐ
окуражат	o k u r a ʒ ɐ t
немалка	n e m a ɫ k ɐ
принудително	p r i n u d i t e ɫ n o
отказван	o t k a z v ɐ n
граничнопропускателния	ɡ r ɐ n i t ʃ n o p r o p u s k ɐ t e ɫ n i j ɐ
гледна	ɡ l e d n ɐ
добрата	d o b r a t ɐ
атмосфера	ɐ t m o s f e r ɐ
продиктувана	p r o d i k t u v a n ɐ
екипа	e k i p ɐ
сформирането	s f o r m i r a n e t o
случайно	s ɫ u t ʃ a j n o
стъпка	s t ə p k ɐ
участие	u t ʃ a s t i e
предмет	p r e d m e t
дейност	d e j n o s t
културен	k u ɫ t u r e n
туроператори	t u r o p e r a t o r i
обхванат	o p x v a n ɐ t
възможности	v ə z m o ʒ n o s t i
рекламирането	r e k ɫ ɐ m i r a n e t o
недостатъчната	n e d o s t ɐ t ə t ʃ n a t ɐ
координация	k o o r d i n a t s i ɐ
свежда	s v e ʒ d ɐ
разпознаване	r ɐ s p o z n a v a n e
коалиционните	k o ɐ l i t s i o n n i t e
отбелязването	o d b e l ɐ z v a n e t o
съюзническите	s ə j u z n i t ʃ e s k i t e
военните	v o e n n i t e
твърдяха	t v ə r dʲ a x ɐ
правеха	p r a v e x ɐ
формация	f o r m a t s i ɐ
отминат	o t m i n ɐ t
предпочитана	p r e t p o t ʃ i t a n ɐ
възрастови	v ə z r a s t o v i
предимно	p r e d i m n o
десноцентристките	d e s n o t s e n t r i s t k i t e
предпочитани	p r e t p o t ʃ i t a n i
по-високо	p o v i s o k o
животът	ʒ i v o t ə t
престава	p r e s t a v ɐ
сърди	s ə r d i
напуска	n a p u s k ɐ
съответната	s ə o t v e t n a t ɐ
инициативният	i n i t s i ɐ t i v n i j ɐ t
комитет	k o m i t e t
сарафовци	s ɐ r a f o f t s i
настоява	n ɐ s t o j a v ɐ
премести	p r e m e s t i
знакът	z n a k ə t
американския	ɐ m e r i k a n s k i j ɐ
германския	ɡ e r m a n s k i j ɐ
канцлер	k a n t s l e r
сложни	s ɫ o ʒ n i
никакъв	n i k a k ə f
банковото	b ɐ n k o v o t o
постигане	p o s t i ɡ a n e
очаква	o t ʃ a k v ɐ
магистратите	m ɐ ɡ i s t r a t i t e
поискат	p o i s k ɐ t
сваляне	s v a l a n e
имунитета	i m u n i t e t ɐ
експремиера	e k s p r e m i e r ɐ
Парламентарните	p ɐ r ɫ ɐ m e n t a r n i t e
отчасти	o t t ʃ a s t i
чиито	t ʃ i i t o
увеличиха	u v e l i t ʃ i x ɐ
запазват	z a p a z v ɐ t
непроменен	n e p r o m e n e n
състава	s ə s t a v ɐ
деветото	d e v e t o t o
забавянето	z ɐ b ɐ vʲ a n e t o
тактическо	t ɐ k t i t ʃ e s k o
изнерви	i z n e r v i
партньорите	p ɐ r t ɲ o r i t e
инвестира	i n v e s t i r ɐ
декар	d e k ɐ r
качествено	k ɐ t ʃ e s t v e n o
лозе	ɫ o z e
терена	t e r e n ɐ
подлъгват	p o d ɫ ə ɡ v ɐ t
ситуацията	s i t u a t s i ɐ t ɐ
направиха	n ɐ p r a v i x ɐ
земята	z e mʲ a t ɐ
вчера	f t ʃ e r ɐ
датират	d a t i r ɐ t
Жельо	ʒ e l o
изказа	i s k a z ɐ
идеята	i d e j a t ɐ
връщането	v r ə ʃ t a n e t o
реални	r e a ɫ n i
граници	ɡ r a n i t s i
определиха	o p r e d e l i x ɐ
водачите	v o d a t ʃ i t e
кандидатските	k ɐ n d i d a t s k i t e
създадена	s ə z d a d e n ɐ
прехвърли	p r e x v ə r l i
етническа	e t n i t ʃ e s k ɐ
лиши	l i ʃ i
досегашната	d o s e ɡ a ʃ n a t ɐ
привилегия	p r i v i l e ɡ i j ɐ
социологът	s o t s i o ɫ o ɡ ə t
държавните	d ə r ʒ a v n i t e
вкарали	f k a r a l i
натиск	n a t i s k
нареждали	n ɐ r e ʒ d a l i
Булгаргаз	b u ɫ ɡ a r ɡ ɐ s
Химимпорт	ʃ i m i m p o r t
Асарел	a s a r e ɫ
Медет	m e d e t
АЕЦ	a e t s
Козлодуй	k o z ɫ o d u j
редовните	r e d o v n i t e
посещения	p o s e ʃ t e n i j ɐ
насърчават	n ɐ s ə r t ʃ a v ɐ t
собствениците	s o p s t v e n i t s i t e
отстъпки	o t s t ə p k i
цените	t s e n i t e
прицели	p r i t s e l i
спечелването	s p e t ʃ e ɫ v a n e t o
абсолютно	ɐ p s o l u t n o
противен	p r o t i v e n
полският	p o ɫ s k i j ɐ t
падне	p a d n e
реформираността	r e f o r m i r a n o s t̪ ɐ
кълняха	k ə ɫ ɲ a x ɐ
напротив	n ɐ p r o t i f
иракските	i r a k s k i t e
шити	ʃ i t i
досега	d o s e ɡ ɐ
доказа	d o k a z ɐ
по-скоро	p o s k o r o
колко	k o ɫ k o
дебатирани	d e b ɐ t i r a n i
пленарната	p l e n a r n a t ɐ
батальона	b ɐ t a l o n ɐ
въпросите	v ə p r o s i t e
финансирането	f i n ɐ n s i r a n e t o
армията	ɐ r m i j a t ɐ
интересуват	i n t e r e s u v ɐ t
болните	b o ɫ n i t e
теми	t e m i
прости	p r o s t i
водещата	v o d e ʃ t a t ɐ
искаше	i s k a ʃ e
базата	b a z a t ɐ
Манас	m a n ɐ s
Ханабад	x a n a b ɐ t
Узбекистан	u z b e k i s t ɐ n
поддържащи	p o d d ə r ʒ a ʃ t i
авиационните	ɐ v i ɐ t s i o n n i t e
подразделения	p o d r ɐ z d e l e n i j ɐ
НАТО	n a t o
преференциалната	p r e f e r e n t s i a ɫ n a t ɐ
квота	k v o t ɐ
внос	v n o s
сурова	s u r o v ɐ
Арман	a r m ɐ n
Бабикян	b a b i kʲ ɐ n
административен	ɐ d m i n i s t r a t i v e n
редно	r e d n o
натоварва	n ɐ t o v a r v ɐ
съдебни	s ə d e b n i
функции	f u n k t s i i
възпротиви	v ə s p r o t i v i
скри	s k r i
Слави	s ɫ a v i
сядат	ʃ a d ɐ t
масата	m a s a t ɐ
надхвърлят	n a t x v ə r l ɐ t
Латвия	ɫ a t v i j ɐ
Филчев	f i ɫ t ʃ e f
размислиха	r ɐ z m i s l i x ɐ
конфликт	k o n f l i k t
помежду	p o m e ʒ d u
одобрят	o d o b rʲ ɐ t
споразумения	s p o r ɐ z u m e n i j ɐ
сключени	s k l u t ʃ e n i
засиления	z ɐ s i l e n i j ɐ
патриотизъм	p ɐ t r i o t i z ə m
нюанси	ɲ u a n s i
настроения	n ɐ s t r o e n i j ɐ
нулевите	n u l e v i t e
